t,x,y,z,sum,frame
7162,-14.7,8,,,573
7182,-13.72,20,,,575
7197,-13.72,15,,,577
7218,-9.8,21,,,578
7236,-7.84,18,,,579
7249,-7.84,13,,,580
7270,-4.9,21,,,581
7282,-4.9,12,,,583
7299,-5.88,17,,,584
7318,-1.96,19,,,586
7332,-1.96,14,,,587
7353,-1.96,21,,,589
7365,-2.94,12,,,591
7384,-1.96,19,,,593
7399,-1.96,15,,,595
7416,0.98,17,,,596
7432,-1.96,16,,,597
7452,-0.98,20,,,598
7464,-1.96,12,,,599
7490,0,26,,,601
7496,0.98,6,,,603
7514,-0.98,18,,,605
7533,0,19,,,606
7547,0,14,,,607
7563,0,16,,,608
7576,0,13,,,610
7590,0.98,14,,,612
7607,0,17,,,613
7623,0,16,,,614
7638,-1.96,15,,,615
7657,0,19,,,616
7671,0,14,,,617
7698,0,27,,,619
7704,0.98,6,,,620
7719,0,15,,,622
7751,0.98,32,,,623
7753,-0.98,2,,,624
7764,0,11,,,625
7791,0.98,27,,,626
7795,0.98,4,,,627
7835,0,40,,,628
7841,-0.98,6,,,630
7846,2.94,5,,,631
7860,-0.98,14,,,632
7877,-0.98,17,,,634
7895,0,18,,,635
7946,0,51,,,637
7954,1.96,8,,,638
7959,0.98,5,,,640
7961,0.98,2,,,642
7973,1.96,12,,,643
7986,0,13,,,645
8002,0.98,16,,,646
8018,0.98,16,,,647
8033,0,15,,,648
8052,-0.98,19,,,649
8066,0,14,,,650
8081,0.98,15,,,651
8099,1.96,18,,,653
8114,0.98,15,,,655
8131,1.96,17,,,656
8150,0,19,,,657
8160,1.96,10,,,659
8174,0.98,14,,,660
8190,-0.98,16,,,661
8209,-0.98,19,,,662
8225,0.98,16,,,663
8242,0.98,17,,,664
8258,-1.96,16,,,665
8272,0.98,14,,,667
8287,0,15,,,669
8303,0.98,16,,,670
8320,0.98,17,,,671
8334,0.98,14,,,672
8352,0.98,18,,,673
8466,0,114,,,675
8467,0,1,,,677
8469,1.96,2,,,678
8471,1.96,2,,,679
8473,0.98,2,,,680
8478,0,5,,,682
8500,0,22,,,683
8512,0.98,12,,,684
8532,1.96,20,,,686
8548,0.98,16,,,687
8568,0,20,,,688
8576,1.96,8,,,690
8594,-0.98,18,,,692
8603,0,9,,,693
8620,0,17,,,694
8637,0,17,,,695
8657,-0.98,20,,,696
8684,0,27,,,697
8688,0.98,4,,,698
8709,0,21,,,699
8718,0,9,,,700
8729,0,11,,,701
8757,-0.98,28,,,703
8763,0,6,,,704
8777,0,14,,,705
8794,0,17,,,707
8808,0,14,,,709
8824,0.98,16,,,711
8842,0,18,,,712
8869,0,27,,,713
8872,-0.98,3,,,715
8890,-0.98,18,,,716
8904,-1.96,14,,,717
8922,-0.98,18,,,718
8937,0.98,15,,,720
8953,1.96,16,,,721
8970,0,17,,,722
8985,0,15,,,723
9001,0.98,16,,,724
9017,0.98,16,,,726
9031,0.98,14,,,728
9049,0,18,,,730
9066,0,17,,,732
9084,0,18,,,734
9109,-0.98,25,,,735
9111,0.98,2,,,736
9125,0,14,,,738
9142,0,17,,,739
9158,0,16,,,740
9172,0,14,,,741
9190,0.98,18,,,742
9205,-0.98,15,,,744
9238,-0.98,33,,,745
9240,0,2,,,746
9261,-0.98,21,,,747
9274,0,13,,,749
9288,-0.98,14,,,750
9311,-0.98,23,,,752
9318,-0.98,7,,,753
9345,-0.98,27,,,755
9352,-0.98,7,,,757
9376,-0.98,24,,,758
9385,-1.96,9,,,759
9403,-1.96,18,,,760
9427,-2.94,24,,,761
