9595,18.7,2,2,0,0,305
9631,19.8,1,2,0,-1,307
9669,19.8,3,1,0,2,309
9706,19.8,3,-1,-16,-12,311
9747,19.8,3,0,0,3,312
9784,17.6,2,-1,-1,2,313
9822,19.8,1,2,15,14,314
9861,20.9,3,1,-1,1,315
9897,19.8,3,0,0,3,316
9934,19.8,3,1,1,3,317
9970,-31.9,1,1,1,1,318
10008,19.8,1,1,15,15,319
10147,19.8,3,1,0,2,321
10149,18.7,3,1,0,2,322
10156,18.7,2,-15,0,17,324
10196,19.8,2,1,0,1,325
10234,19.8,3,1,-16,-14,326
10275,19.8,3,0,1,4,327
10313,19.8,4,1,0,3,328
10350,18.7,4,2,1,3,329
10388,19.8,3,0,14,17,330
10427,19.8,3,0,1,4,331
10465,19.8,2,1,-1,0,332
10504,20.9,1,1,0,0,334
10542,19.8,2,1,0,1,336
10578,20.9,3,1,-2,0,338
10617,19.8,2,2,-1,-1,340
10656,19.8,2,1,0,1,341
10694,20.9,3,0,-1,2,342
10732,19.8,3,2,0,1,344
10770,19.8,1,0,-1,0,346
10808,19.8,1,15,0,-14,348
10849,18.7,2,0,0,2,349
10886,20.9,3,-1,0,4,350
10925,19.8,3,2,-1,0,351
10962,18.7,2,1,1,2,352
11100,19.8,2,1,0,1,353
11102,19.8,2,1,0,1,354
11109,18.7,1,0,0,1,356
11147,18.7,1,1,-1,-1,358
11186,18.7,1,2,0,-1,359
11224,19.8,3,2,1,2,361
11261,18.7,1,-1,1,3,363
11299,19.8,2,2,-16,-16,365
11341,19.8,2,0,15,17,366
11380,19.8,1,0,0,1,367
11418,18.7,3,-1,-1,3,368
11458,19.8,3,1,15,17,369
11497,19.8,3,1,0,2,370
11535,19.8,3,-1,0,4,371
11574,19.8,2,0,0,2,373
11612,17.6,4,1,-1,2,375
11650,19.8,2,1,0,1,377
11687,19.8,0,0,0,0,379
11724,18.7,1,0,-1,0,381
11763,19.8,1,1,0,0,382
11800,19.8,3,-3,0,6,383
11839,19.8,2,0,0,2,384
11876,19.8,3,1,-1,1,386
12014,17.6,3,0,15,18,388
12016,18.7,3,1,0,2,390
12025,19.8,3,1,0,2,391
12062,19.8,3,0,0,3,392
12100,18.7,3,1,-1,1,393
12139,18.7,2,1,-1,0,394
12176,18.7,2,-15,-1,16,395
12218,19.8,3,1,0,2,397
12256,19.8,2,1,-1,0,399
12294,20.9,2,1,-16,-15,400
12336,19.8,2,1,-1,0,401
12375,19.8,3,-16,-1,18,402
12417,18.7,3,1,0,2,404
12453,19.8,3,-1,0,4,406
12492,19.8,3,1,-1,1,407
12530,18.7,2,1,2,3,408
12568,19.8,4,15,0,-11,409
12608,19.8,2,1,0,1,411
12646,19.8,2,1,0,1,413
12783,18.7,2,1,-1,0,414
12786,18.7,3,0,0,3,415
12792,19.8,4,1,0,3,416
12830,19.8,3,0,1,4,417
12867,19.8,2,0,0,2,418
12905,19.8,2,1,0,1,419
12943,19.8,3,1,-1,1,420
12981,19.8,4,0,1,5,421
