Starting!
t,x,y,z,sum,frame
17792,2.94,-0.98,0.98,4.90,733
17823,0.00,-0.98,2.94,3.92,734
17862,2.94,0.00,-0.98,1.96,735
17894,2.94,-0.98,-0.98,2.94,737
17924,2.94,-0.98,-0.98,2.94,739
17954,1.96,1.96,0.00,0.00,740
17987,1.96,2.94,-0.98,-1.96,742
18023,1.96,0.00,0.98,2.94,743
18051,2.94,0.98,0.00,1.96,744
18088,1.96,0.98,0.00,0.98,746
18117,0.00,-0.98,-0.98,0.00,747
18148,1.96,0.98,0.00,0.98,749
18182,1.96,0.98,0.00,0.98,751
18210,0.98,0.00,0.98,1.96,752
18246,1.96,-1.96,0.00,3.92,753
18273,0.98,0.00,-0.98,0.00,754
18304,0.98,0.00,-0.98,0.00,755
18337,2.94,-0.98,-0.98,2.94,756
18374,1.96,1.96,0.98,0.98,757
18403,1.96,1.96,0.00,0.00,758
18435,0.98,0.98,0.00,0.00,759
18477,2.94,1.96,1.96,2.94,761
18504,2.94,1.96,-0.98,-0.00,762
18528,0.98,1.96,0.00,-0.98,763
18564,1.96,1.96,0.00,0.00,764
18609,2.94,0.00,0.00,2.94,765
18623,1.96,0.00,0.00,1.96,766
18655,0.00,0.98,0.00,-0.98,767
18685,1.96,0.98,0.00,0.98,768
18718,0.98,0.98,0.00,0.00,770
18749,0.98,0.00,0.00,0.98,771
18779,0.98,0.00,0.00,0.98,772
18909,0.98,0.00,0.00,0.98,773
18911,0.98,0.00,0.00,0.98,774
18916,0.98,0.00,0.98,1.96,775
18938,1.96,0.98,-0.98,0.00,777
18972,0.98,1.96,0.98,0.00,779
19001,2.94,0.98,0.00,1.96,781
19032,2.94,1.96,-0.98,-0.00,782
19064,1.96,0.00,0.00,1.96,784
19097,0.98,0.00,0.00,0.98,785
19129,2.94,0.00,0.98,3.92,786
19159,1.96,0.98,-0.98,0.00,788
19193,1.96,0.00,0.00,1.96,789
19223,2.94,0.00,0.98,3.92,790
19254,1.96,1.96,0.98,0.98,791
19288,2.94,0.98,0.00,1.96,792
19316,2.94,0.00,0.00,2.94,793
19347,2.94,1.96,0.98,1.96,794
19393,1.96,0.00,0.00,1.96,795
19410,2.94,0.00,-0.98,1.96,796
19448,1.96,0.98,0.00,0.98,797
19495,1.96,-0.98,0.00,2.94,799
19505,1.96,0.00,0.98,2.94,800
19536,0.00,0.00,0.00,0.00,802
19567,2.94,0.00,0.00,2.94,803
19598,1.96,-0.98,-0.98,1.96,804
19632,2.94,0.00,0.00,2.94,805
19665,0.98,1.96,0.00,-0.98,807
19705,2.94,0.98,0.98,2.94,808
19729,1.96,0.00,0.00,1.96,809
19757,3.92,0.00,0.98,4.90,811
19789,1.96,0.00,0.00,1.96,812
19827,2.94,0.00,-1.96,0.98,813
19854,2.94,-0.98,0.98,4.90,814
19886,2.94,0.00,-0.98,1.96,815
19916,2.94,0.00,-1.96,0.98,816
19951,2.94,0.98,0.98,2.94,817
19982,0.98,0.00,0.98,1.96,818
20011,1.96,0.00,0.00,1.96,819
20043,1.96,0.98,0.00,0.98,821
20074,0.00,-1.96,-0.98,0.98,822
20109,1.96,0.98,0.00,0.98,823
20140,1.96,0.98,0.00,0.98,824
20171,2.94,-1.96,0.00,4.90,825
20202,2.94,-0.98,0.00,3.92,826
20241,2.94,0.00,0.00,2.94,827
20267,2.94,0.00,0.00,2.94,828
20300,1.96,-1.96,0.00,3.92,829
20329,1.96,1.96,-0.98,-0.98,830
20365,0.00,0.00,0.98,0.98,831
20399,0.98,0.00,0.00,0.98,832
20424,2.94,0.00,-0.98,1.96,833
20457,2.94,-0.98,-1.96,1.96,835
20490,2.94,0.00,-0.98,1.96,837
20531,2.94,-0.98,0.00,3.92,839
